input_0,input_1,input_2,input_3,input_4,output_0,output_1,output_2,output_3,output_4,seq_id,rain_category
2324676,2324651,2324632,2324610,2324588,2324566,2324544,2324522,2324502,2324478,48,4.0
2324651,2324632,2324610,2324588,2324566,2324544,2324522,2324502,2324478,2324456,48,4.0
2324632,2324610,2324588,2324566,2324544,2324522,2324502,2324478,2324456,2324414,48,4.0
2324610,2324588,2324566,2324544,2324522,2324502,2324478,2324456,2324414,2324392,48,4.0
2324588,2324566,2324544,2324522,2324502,2324478,2324456,2324414,2324392,2324370,48,4.0
2324566,2324544,2324522,2324502,2324478,2324456,2324414,2324392,2324370,2324348,48,4.0
2324544,2324522,2324502,2324478,2324456,2324414,2324392,2324370,2324348,2324326,48,4.0
2324522,2324502,2324478,2324456,2324414,2324392,2324370,2324348,2324326,2324304,48,4.0
2324502,2324478,2324456,2324414,2324392,2324370,2324348,2324326,2324304,2324282,48,4.0
2324478,2324456,2324414,2324392,2324370,2324348,2324326,2324304,2324282,2324260,48,4.0
2324456,2324414,2324392,2324370,2324348,2324326,2324304,2324282,2324260,2324238,48,4.0
2324414,2324392,2324370,2324348,2324326,2324304,2324282,2324260,2324238,2324216,48,4.0
2324392,2324370,2324348,2324326,2324304,2324282,2324260,2324238,2324216,2324194,48,4.0
2324370,2324348,2324326,2324304,2324282,2324260,2324238,2324216,2324194,2324172,48,4.0
2324348,2324326,2324304,2324282,2324260,2324238,2324216,2324194,2324172,2324130,48,4.0
2324326,2324304,2324282,2324260,2324238,2324216,2324194,2324172,2324130,2324110,48,4.0
2324304,2324282,2324260,2324238,2324216,2324194,2324172,2324130,2324110,2324086,48,4.0
2324282,2324260,2324238,2324216,2324194,2324172,2324130,2324110,2324086,2324064,48,4.0
2324260,2324238,2324216,2324194,2324172,2324130,2324110,2324086,2324064,2324042,48,4.0
2324238,2324216,2324194,2324172,2324130,2324110,2324086,2324064,2324042,2324022,48,4.0
2324216,2324194,2324172,2324130,2324110,2324086,2324064,2324042,2324022,2323998,48,4.0
2324194,2324172,2324130,2324110,2324086,2324064,2324042,2324022,2323998,2323976,48,4.0
2324172,2324130,2324110,2324086,2324064,2324042,2324022,2323998,2323976,2323954,48,4.0
2324130,2324110,2324086,2324064,2324042,2324022,2323998,2323976,2323954,2323932,48,4.0
2324110,2324086,2324064,2324042,2324022,2323998,2323976,2323954,2323932,2323913,48,4.0
2324086,2324064,2324042,2324022,2323998,2323976,2323954,2323932,2323913,2323892,48,4.0
2324064,2324042,2324022,2323998,2323976,2323954,2323932,2323913,2323892,2323848,48,4.0
2324042,2324022,2323998,2323976,2323954,2323932,2323913,2323892,2323848,2323829,48,4.0
2324022,2323998,2323976,2323954,2323932,2323913,2323892,2323848,2323829,2323806,48,4.0
2323998,2323976,2323954,2323932,2323913,2323892,2323848,2323829,2323806,2323788,48,4.0
2323976,2323954,2323932,2323913,2323892,2323848,2323829,2323806,2323788,2323766,48,4.0
2323954,2323932,2323913,2323892,2323848,2323829,2323806,2323788,2323766,2323748,48,4.0
2323932,2323913,2323892,2323848,2323829,2323806,2323788,2323766,2323748,2323728,48,4.0
2323913,2323892,2323848,2323829,2323806,2323788,2323766,2323748,2323728,2323708,48,4.0
2323892,2323848,2323829,2323806,2323788,2323766,2323748,2323728,2323708,2323685,48,4.0
2323848,2323829,2323806,2323788,2323766,2323748,2323728,2323708,2323685,2323648,48,3.9
2323829,2323806,2323788,2323766,2323748,2323728,2323708,2323685,2323648,2323628,48,3.8
2323806,2323788,2323766,2323748,2323728,2323708,2323685,2323648,2323628,2323610,48,3.7
2323788,2323766,2323748,2323728,2323708,2323685,2323648,2323628,2323610,2323590,48,3.6
2318955,2318933,2318913,2318893,2318873,2318833,2318813,2318793,2318773,2318753,49,3.1
2318933,2318913,2318893,2318873,2318833,2318813,2318793,2318773,2318753,2318733,49,3.2
2318913,2318893,2318873,2318833,2318813,2318793,2318773,2318753,2318733,2318693,49,3.3
2318893,2318873,2318833,2318813,2318793,2318773,2318753,2318733,2318693,2318670,49,3.4
2318873,2318833,2318813,2318793,2318773,2318753,2318733,2318693,2318670,2318653,49,3.5
2318833,2318813,2318793,2318773,2318753,2318733,2318693,2318670,2318653,2318633,49,3.5
2318813,2318793,2318773,2318753,2318733,2318693,2318670,2318653,2318633,2318610,49,3.5
2318793,2318773,2318753,2318733,2318693,2318670,2318653,2318633,2318610,2318590,49,3.5
2318773,2318753,2318733,2318693,2318670,2318653,2318633,2318610,2318590,2318550,49,3.6
2318753,2318733,2318693,2318670,2318653,2318633,2318610,2318590,2318550,2318533,49,3.5
2318733,2318693,2318670,2318653,2318633,2318610,2318590,2318550,2318533,2318513,49,3.4
2318693,2318670,2318653,2318633,2318610,2318590,2318550,2318533,2318513,2318495,49,3.2
2318413,2318390,2318373,2318353,2318330,2318313,2318293,2318276,2318256,2318236,49,3.2
2318390,2318373,2318353,2318330,2318313,2318293,2318276,2318256,2318236,2318216,49,3.3
2318373,2318353,2318330,2318313,2318293,2318276,2318256,2318236,2318216,2318196,49,3.4
2318353,2318330,2318313,2318293,2318276,2318256,2318236,2318216,2318196,2318156,49,3.5
2318330,2318313,2318293,2318276,2318256,2318236,2318216,2318196,2318156,2318136,49,3.6
2318313,2318293,2318276,2318256,2318236,2318216,2318196,2318156,2318136,2318116,49,3.7
2318293,2318276,2318256,2318236,2318216,2318196,2318156,2318136,2318116,2318096,49,3.8
2318276,2318256,2318236,2318216,2318196,2318156,2318136,2318116,2318096,2318076,49,3.9
2318256,2318236,2318216,2318196,2318156,2318136,2318116,2318096,2318076,2318058,49,4.0
2318236,2318216,2318196,2318156,2318136,2318116,2318096,2318076,2318058,2318016,49,4.0
2318216,2318196,2318156,2318136,2318116,2318096,2318076,2318058,2318016,2317996,49,4.0
2318196,2318156,2318136,2318116,2318096,2318076,2318058,2318016,2317996,2317976,49,4.0
2318156,2318136,2318116,2318096,2318076,2318058,2318016,2317996,2317976,2317956,49,4.0
2318136,2318116,2318096,2318076,2318058,2318016,2317996,2317976,2317956,2317936,49,4.0
2318116,2318096,2318076,2318058,2318016,2317996,2317976,2317956,2317936,2317916,49,4.0
2318096,2318076,2318058,2318016,2317996,2317976,2317956,2317936,2317916,2317876,49,4.0
2318076,2318058,2318016,2317996,2317976,2317956,2317936,2317916,2317876,2317856,49,4.0
2318058,2318016,2317996,2317976,2317956,2317936,2317916,2317876,2317856,2317836,49,4.0
2318016,2317996,2317976,2317956,2317936,2317916,2317876,2317856,2317836,2317813,49,4.0
2317996,2317976,2317956,2317936,2317916,2317876,2317856,2317836,2317813,2317796,49,4.0
2317976,2317956,2317936,2317916,2317876,2317856,2317836,2317813,2317796,2317776,49,4.0
2317956,2317936,2317916,2317876,2317856,2317836,2317813,2317796,2317776,2317734,49,4.0
2317936,2317916,2317876,2317856,2317836,2317813,2317796,2317776,2317734,2317714,49,4.0
2317916,2317876,2317856,2317836,2317813,2317796,2317776,2317734,2317714,2317694,49,4.0
2317876,2317856,2317836,2317813,2317796,2317776,2317734,2317714,2317694,2317674,49,4.0
2317856,2317836,2317813,2317796,2317776,2317734,2317714,2317694,2317674,2317654,49,4.0
2317836,2317813,2317796,2317776,2317734,2317714,2317694,2317674,2317654,2317631,49,4.0
2317813,2317796,2317776,2317734,2317714,2317694,2317674,2317654,2317631,2317614,49,4.0
2317796,2317776,2317734,2317714,2317694,2317674,2317654,2317631,2317614,2317593,49,4.0
2317776,2317734,2317714,2317694,2317674,2317654,2317631,2317614,2317593,2317573,49,4.0
2317734,2317714,2317694,2317674,2317654,2317631,2317614,2317593,2317573,2317549,49,4.0
2317714,2317694,2317674,2317654,2317631,2317614,2317593,2317573,2317549,2317530,49,4.0
2317694,2317674,2317654,2317631,2317614,2317593,2317573,2317549,2317530,2317508,49,4.0
2317674,2317654,2317631,2317614,2317593,2317573,2317549,2317530,2317508,2317466,49,4.0
2317654,2317631,2317614,2317593,2317573,2317549,2317530,2317508,2317466,2317445,49,4.0
2317631,2317614,2317593,2317573,2317549,2317530,2317508,2317466,2317445,2317425,49,4.0
2317614,2317593,2317573,2317549,2317530,2317508,2317466,2317445,2317425,2317401,49,4.0
2317593,2317573,2317549,2317530,2317508,2317466,2317445,2317425,2317401,2317381,49,4.0
2317573,2317549,2317530,2317508,2317466,2317445,2317425,2317401,2317381,2317354,49,4.0
2317549,2317530,2317508,2317466,2317445,2317425,2317401,2317381,2317354,2317335,49,4.0
2317530,2317508,2317466,2317445,2317425,2317401,2317381,2317354,2317335,2317310,49,4.0
2317508,2317466,2317445,2317425,2317401,2317381,2317354,2317335,2317310,2317291,49,4.0
2317466,2317445,2317425,2317401,2317381,2317354,2317335,2317310,2317291,2317266,49,4.0
2317445,2317425,2317401,2317381,2317354,2317335,2317310,2317291,2317266,2317247,49,4.0
2317425,2317401,2317381,2317354,2317335,2317310,2317291,2317266,2317247,2317225,49,4.0
2317401,2317381,2317354,2317335,2317310,2317291,2317266,2317247,2317225,2317184,49,4.0
2317381,2317354,2317335,2317310,2317291,2317266,2317247,2317225,2317184,2317162,49,4.0
2317354,2317335,2317310,2317291,2317266,2317247,2317225,2317184,2317162,2317137,49,4.0
2317335,2317310,2317291,2317266,2317247,2317225,2317184,2317162,2317137,2317118,49,4.0
2317310,2317291,2317266,2317247,2317225,2317184,2317162,2317137,2317118,2317096,49,4.0
2317291,2317266,2317247,2317225,2317184,2317162,2317137,2317118,2317096,2317074,49,4.0
2317266,2317247,2317225,2317184,2317162,2317137,2317118,2317096,2317074,2317052,49,4.0
2317247,2317225,2317184,2317162,2317137,2317118,2317096,2317074,2317052,2317030,49,4.0
2317225,2317184,2317162,2317137,2317118,2317096,2317074,2317052,2317030,2317008,49,4.0
2317184,2317162,2317137,2317118,2317096,2317074,2317052,2317030,2317008,2316986,49,4.0
2317162,2317137,2317118,2317096,2317074,2317052,2317030,2317008,2316986,2316964,49,4.0
2317137,2317118,2317096,2317074,2317052,2317030,2317008,2316986,2316964,2316942,49,4.0
2317118,2317096,2317074,2317052,2317030,2317008,2316986,2316964,2316942,2316900,49,4.0
2317096,2317074,2317052,2317030,2317008,2316986,2316964,2316942,2316900,2316878,49,4.0
2317074,2317052,2317030,2317008,2316986,2316964,2316942,2316900,2316878,2316856,49,4.0
2317052,2317030,2317008,2316986,2316964,2316942,2316900,2316878,2316856,2316834,49,4.0
2317030,2317008,2316986,2316964,2316942,2316900,2316878,2316856,2316834,2316812,49,4.0
2317008,2316986,2316964,2316942,2316900,2316878,2316856,2316834,2316812,2316790,49,4.0
2316986,2316964,2316942,2316900,2316878,2316856,2316834,2316812,2316790,2316768,49,4.0
2316964,2316942,2316900,2316878,2316856,2316834,2316812,2316790,2316768,2316746,49,4.0
2316942,2316900,2316878,2316856,2316834,2316812,2316790,2316768,2316746,2316724,49,4.0
2316900,2316878,2316856,2316834,2316812,2316790,2316768,2316746,2316724,2316702,49,4.0
2316878,2316856,2316834,2316812,2316790,2316768,2316746,2316724,2316702,2316677,49,4.0
2316856,2316834,2316812,2316790,2316768,2316746,2316724,2316702,2316677,2316658,49,4.0
2316834,2316812,2316790,2316768,2316746,2316724,2316702,2316677,2316658,2316616,49,4.0
2316812,2316790,2316768,2316746,2316724,2316702,2316677,2316658,2316616,2316594,49,4.0
2316790,2316768,2316746,2316724,2316702,2316677,2316658,2316616,2316594,2316574,49,4.0
2316768,2316746,2316724,2316702,2316677,2316658,2316616,2316594,2316574,2316550,49,4.0
2316746,2316724,2316702,2316677,2316658,2316616,2316594,2316574,2316550,2316528,49,4.0
2316724,2316702,2316677,2316658,2316616,2316594,2316574,2316550,2316528,2316506,49,4.0
2316702,2316677,2316658,2316616,2316594,2316574,2316550,2316528,2316506,2316484,49,4.0
2316677,2316658,2316616,2316594,2316574,2316550,2316528,2316506,2316484,2316462,49,4.0
2316658,2316616,2316594,2316574,2316550,2316528,2316506,2316484,2316462,2316440,49,4.0
2316616,2316594,2316574,2316550,2316528,2316506,2316484,2316462,2316440,2316418,49,4.0
2316594,2316574,2316550,2316528,2316506,2316484,2316462,2316440,2316418,2316396,49,4.0
2316574,2316550,2316528,2316506,2316484,2316462,2316440,2316418,2316396,2316374,49,4.0
2316550,2316528,2316506,2316484,2316462,2316440,2316418,2316396,2316374,2316332,49,4.0
2316528,2316506,2316484,2316462,2316440,2316418,2316396,2316374,2316332,2316310,49,4.0
2316506,2316484,2316462,2316440,2316418,2316396,2316374,2316332,2316310,2316288,49,4.0
2316484,2316462,2316440,2316418,2316396,2316374,2316332,2316310,2316288,2316266,49,4.0
2316462,2316440,2316418,2316396,2316374,2316332,2316310,2316288,2316266,2316241,49,4.0
2316440,2316418,2316396,2316374,2316332,2316310,2316288,2316266,2316241,2316222,49,4.0
2316418,2316396,2316374,2316332,2316310,2316288,2316266,2316241,2316222,2316200,49,4.0
2316396,2316374,2316332,2316310,2316288,2316266,2316241,2316222,2316200,2316180,49,4.0
2316374,2316332,2316310,2316288,2316266,2316241,2316222,2316200,2316180,2316156,49,4.0
2316332,2316310,2316288,2316266,2316241,2316222,2316200,2316180,2316156,2316136,49,4.0
2316310,2316288,2316266,2316241,2316222,2316200,2316180,2316156,2316136,2316115,49,4.0
2316288,2316266,2316241,2316222,2316200,2316180,2316156,2316136,2316115,2316093,49,4.0
2316266,2316241,2316222,2316200,2316180,2316156,2316136,2316115,2316093,2316050,49,4.0
2316241,2316222,2316200,2316180,2316156,2316136,2316115,2316093,2316050,2316031,49,4.0
2316222,2316200,2316180,2316156,2316136,2316115,2316093,2316050,2316031,2316010,49,4.0
2316200,2316180,2316156,2316136,2316115,2316093,2316050,2316031,2316010,2315989,49,4.0
2316180,2316156,2316136,2316115,2316093,2316050,2316031,2316010,2315989,2315967,49,4.0
2316156,2316136,2316115,2316093,2316050,2316031,2316010,2315989,2315967,2315944,49,4.0
2316136,2316115,2316093,2316050,2316031,2316010,2315989,2315967,2315944,2315922,49,4.0
2316115,2316093,2316050,2316031,2316010,2315989,2315967,2315944,2315922,2315900,49,4.0
2316093,2316050,2316031,2316010,2315989,2315967,2315944,2315922,2315900,2315880,49,4.0
2316050,2316031,2316010,2315989,2315967,2315944,2315922,2315900,2315880,2315859,49,4.0
2316031,2316010,2315989,2315967,2315944,2315922,2315900,2315880,2315859,2315837,49,4.0
2316010,2315989,2315967,2315944,2315922,2315900,2315880,2315859,2315837,2315815,49,4.0
2315989,2315967,2315944,2315922,2315900,2315880,2315859,2315837,2315815,2315770,49,4.0
2315967,2315944,2315922,2315900,2315880,2315859,2315837,2315815,2315770,2315753,49,4.0
2315944,2315922,2315900,2315880,2315859,2315837,2315815,2315770,2315753,2315732,49,4.0
2315922,2315900,2315880,2315859,2315837,2315815,2315770,2315753,2315732,2315711,49,4.0
2315900,2315880,2315859,2315837,2315815,2315770,2315753,2315732,2315711,2315690,49,4.0
2315880,2315859,2315837,2315815,2315770,2315753,2315732,2315711,2315690,2315669,49,4.0
2315859,2315837,2315815,2315770,2315753,2315732,2315711,2315690,2315669,2315648,49,4.0
2315837,2315815,2315770,2315753,2315732,2315711,2315690,2315669,2315648,2315627,49,4.0
2315815,2315770,2315753,2315732,2315711,2315690,2315669,2315648,2315627,2315604,49,4.0
2315770,2315753,2315732,2315711,2315690,2315669,2315648,2315627,2315604,2315586,49,4.0
2315753,2315732,2315711,2315690,2315669,2315648,2315627,2315604,2315586,2315564,49,4.0
2315732,2315711,2315690,2315669,2315648,2315627,2315604,2315586,2315564,2315542,49,4.0
2315711,2315690,2315669,2315648,2315627,2315604,2315586,2315564,2315542,2315499,49,4.0
2315690,2315669,2315648,2315627,2315604,2315586,2315564,2315542,2315499,2315480,49,4.0
2315669,2315648,2315627,2315604,2315586,2315564,2315542,2315499,2315480,2315458,49,4.0
2315648,2315627,2315604,2315586,2315564,2315542,2315499,2315480,2315458,2315436,49,4.0
2315627,2315604,2315586,2315564,2315542,2315499,2315480,2315458,2315436,2315412,49,4.0
2315604,2315586,2315564,2315542,2315499,2315480,2315458,2315436,2315412,2315393,49,4.0
2315586,2315564,2315542,2315499,2315480,2315458,2315436,2315412,2315393,2315371,49,4.0
2315564,2315542,2315499,2315480,2315458,2315436,2315412,2315393,2315371,2315349,49,4.0
2315542,2315499,2315480,2315458,2315436,2315412,2315393,2315371,2315349,2315327,49,4.0
2315499,2315480,2315458,2315436,2315412,2315393,2315371,2315349,2315327,2315307,49,4.0
2315480,2315458,2315436,2315412,2315393,2315371,2315349,2315327,2315307,2315283,49,4.0
2315458,2315436,2315412,2315393,2315371,2315349,2315327,2315307,2315283,2315263,49,4.0
2315436,2315412,2315393,2315371,2315349,2315327,2315307,2315283,2315263,2315219,49,4.0
2315412,2315393,2315371,2315349,2315327,2315307,2315283,2315263,2315219,2315197,49,4.0
2315393,2315371,2315349,2315327,2315307,2315283,2315263,2315219,2315197,2315175,49,4.0
2315371,2315349,2315327,2315307,2315283,2315263,2315219,2315197,2315175,2315153,49,4.0
2315349,2315327,2315307,2315283,2315263,2315219,2315197,2315175,2315153,2315133,49,4.0
2315327,2315307,2315283,2315263,2315219,2315197,2315175,2315153,2315133,2315113,49,4.0
2315307,2315283,2315263,2315219,2315197,2315175,2315153,2315133,2315113,2315089,49,4.0
2315283,2315263,2315219,2315197,2315175,2315153,2315133,2315113,2315089,2315067,49,4.0
2315263,2315219,2315197,2315175,2315153,2315133,2315113,2315089,2315067,2315047,49,4.0
2315219,2315197,2315175,2315153,2315133,2315113,2315089,2315067,2315047,2315025,49,4.0
2315197,2315175,2315153,2315133,2315113,2315089,2315067,2315047,2315025,2315001,49,4.0
2315175,2315153,2315133,2315113,2315089,2315067,2315047,2315025,2315001,2314979,49,4.0
2315153,2315133,2315113,2315089,2315067,2315047,2315025,2315001,2314979,2314937,49,4.0
2315133,2315113,2315089,2315067,2315047,2315025,2315001,2314979,2314937,2314917,49,4.0
2315113,2315089,2315067,2315047,2315025,2315001,2314979,2314937,2314917,2314893,49,4.0
2315089,2315067,2315047,2315025,2315001,2314979,2314937,2314917,2314893,2314871,49,4.0
2315067,2315047,2315025,2315001,2314979,2314937,2314917,2314893,2314871,2314849,49,4.0
2315047,2315025,2315001,2314979,2314937,2314917,2314893,2314871,2314849,2314827,49,4.0
2315025,2315001,2314979,2314937,2314917,2314893,2314871,2314849,2314827,2314805,49,4.0
2315001,2314979,2314937,2314917,2314893,2314871,2314849,2314827,2314805,2314780,49,4.0
2314979,2314937,2314917,2314893,2314871,2314849,2314827,2314805,2314780,2314761,49,4.0
2314937,2314917,2314893,2314871,2314849,2314827,2314805,2314780,2314761,2314739,49,4.0
2314917,2314893,2314871,2314849,2314827,2314805,2314780,2314761,2314739,2314717,49,4.0
2314893,2314871,2314849,2314827,2314805,2314780,2314761,2314739,2314717,2314696,49,4.0
2314871,2314849,2314827,2314805,2314780,2314761,2314739,2314717,2314696,2314654,49,4.0
2314849,2314827,2314805,2314780,2314761,2314739,2314717,2314696,2314654,2314632,49,4.0
2314827,2314805,2314780,2314761,2314739,2314717,2314696,2314654,2314632,2314610,49,4.0
2314805,2314780,2314761,2314739,2314717,2314696,2314654,2314632,2314610,2314588,49,4.0
2314780,2314761,2314739,2314717,2314696,2314654,2314632,2314610,2314588,2314566,49,4.0
2314761,2314739,2314717,2314696,2314654,2314632,2314610,2314588,2314566,2314546,49,4.0
2314739,2314717,2314696,2314654,2314632,2314610,2314588,2314566,2314546,2314524,49,4.0
2314717,2314696,2314654,2314632,2314610,2314588,2314566,2314546,2314524,2314502,49,4.0
2314696,2314654,2314632,2314610,2314588,2314566,2314546,2314524,2314502,2314480,49,4.0
2314654,2314632,2314610,2314588,2314566,2314546,2314524,2314502,2314480,2314456,49,4.0
2314632,2314610,2314588,2314566,2314546,2314524,2314502,2314480,2314456,2314436,49,4.0
2314610,2314588,2314566,2314546,2314524,2314502,2314480,2314456,2314436,2314412,49,4.0
2314588,2314566,2314546,2314524,2314502,2314480,2314456,2314436,2314412,2314370,49,4.0
2314566,2314546,2314524,2314502,2314480,2314456,2314436,2314412,2314370,2314348,49,4.0
2314546,2314524,2314502,2314480,2314456,2314436,2314412,2314370,2314348,2314326,49,3.9
2314524,2314502,2314480,2314456,2314436,2314412,2314370,2314348,2314326,2314304,49,3.8
2314502,2314480,2314456,2314436,2314412,2314370,2314348,2314326,2314304,2314282,49,3.7
2314480,2314456,2314436,2314412,2314370,2314348,2314326,2314304,2314282,2314260,49,3.6
2314456,2314436,2314412,2314370,2314348,2314326,2314304,2314282,2314260,2314240,49,3.5
2314436,2314412,2314370,2314348,2314326,2314304,2314282,2314260,2314240,2314216,49,3.4
2314412,2314370,2314348,2314326,2314304,2314282,2314260,2314240,2314216,2314194,49,3.3
2314370,2314348,2314326,2314304,2314282,2314260,2314240,2314216,2314194,2314172,49,3.2
2314348,2314326,2314304,2314282,2314260,2314240,2314216,2314194,2314172,2314150,49,3.1
2273758,2273738,2273722,2273682,2273660,2273640,2273620,2273600,2273577,2273540,66,3.1
2273738,2273722,2273682,2273660,2273640,2273620,2273600,2273577,2273540,2273520,66,3.2
2273722,2273682,2273660,2273640,2273620,2273600,2273577,2273540,2273520,2273500,66,3.3
2273405,2273385,2273365,2273345,2273322,2273285,2273265,2273245,2273225,2273205,67,4.0
2273385,2273365,2273345,2273322,2273285,2273265,2273245,2273225,2273205,2273185,67,4.0
2273365,2273345,2273322,2273285,2273265,2273245,2273225,2273205,2273185,2273145,67,4.0
2273345,2273322,2273285,2273265,2273245,2273225,2273205,2273185,2273145,2273125,67,4.0
2273322,2273285,2273265,2273245,2273225,2273205,2273185,2273145,2273125,2273102,67,4.0
2273285,2273265,2273245,2273225,2273205,2273185,2273145,2273125,2273102,2273085,67,4.0
2273265,2273245,2273225,2273205,2273185,2273145,2273125,2273102,2273085,2273065,67,4.0
2273245,2273225,2273205,2273185,2273145,2273125,2273102,2273085,2273065,2273045,67,4.0
2273225,2273205,2273185,2273145,2273125,2273102,2273085,2273065,2273045,2273003,67,4.0
2273205,2273185,2273145,2273125,2273102,2273085,2273065,2273045,2273003,2272983,67,4.0
2273185,2273145,2273125,2273102,2273085,2273065,2273045,2273003,2272983,2272963,67,4.0
2273145,2273125,2273102,2273085,2273065,2273045,2273003,2272983,2272963,2272943,67,4.0
2273125,2273102,2273085,2273065,2273045,2273003,2272983,2272963,2272943,2272920,67,4.0
2273102,2273085,2273065,2273045,2273003,2272983,2272963,2272943,2272920,2272905,67,4.0
2273085,2273065,2273045,2273003,2272983,2272963,2272943,2272920,2272905,2272883,67,4.0
2273065,2273045,2273003,2272983,2272963,2272943,2272920,2272905,2272883,2272859,67,4.0
2273045,2273003,2272983,2272963,2272943,2272920,2272905,2272883,2272859,2272837,67,4.0
2273003,2272983,2272963,2272943,2272920,2272905,2272883,2272859,2272837,2272815,67,4.0
2272983,2272963,2272943,2272920,2272905,2272883,2272859,2272837,2272815,2272795,67,4.0
2272963,2272943,2272920,2272905,2272883,2272859,2272837,2272815,2272795,2272771,67,4.0
2272943,2272920,2272905,2272883,2272859,2272837,2272815,2272795,2272771,2272726,67,4.0
2272920,2272905,2272883,2272859,2272837,2272815,2272795,2272771,2272726,2272707,67,4.0
2272905,2272883,2272859,2272837,2272815,2272795,2272771,2272726,2272707,2272685,67,4.0
2272883,2272859,2272837,2272815,2272795,2272771,2272726,2272707,2272685,2272665,67,4.0
2272859,2272837,2272815,2272795,2272771,2272726,2272707,2272685,2272665,2272645,67,4.0
2272837,2272815,2272795,2272771,2272726,2272707,2272685,2272665,2272645,2272621,67,4.0
2272815,2272795,2272771,2272726,2272707,2272685,2272665,2272645,2272621,2272601,67,4.0
2272795,2272771,2272726,2272707,2272685,2272665,2272645,2272621,2272601,2272578,67,4.0
2272771,2272726,2272707,2272685,2272665,2272645,2272621,2272601,2272578,2272539,67,4.0
2272726,2272707,2272685,2272665,2272645,2272621,2272601,2272578,2272539,2272519,67,4.0
2272707,2272685,2272665,2272645,2272621,2272601,2272578,2272539,2272519,2272499,67,4.0
2272685,2272665,2272645,2272621,2272601,2272578,2272539,2272519,2272499,2272479,67,4.0
2272665,2272645,2272621,2272601,2272578,2272539,2272519,2272499,2272479,2272459,67,4.0
2272645,2272621,2272601,2272578,2272539,2272519,2272499,2272479,2272459,2272439,67,4.0
2272621,2272601,2272578,2272539,2272519,2272499,2272479,2272459,2272439,2272419,67,4.0
2272601,2272578,2272539,2272519,2272499,2272479,2272459,2272439,2272419,2272399,67,4.0
2272578,2272539,2272519,2272499,2272479,2272459,2272439,2272419,2272399,2272379,67,4.0
2272539,2272519,2272499,2272479,2272459,2272439,2272419,2272399,2272379,2272356,67,4.0
2272519,2272499,2272479,2272459,2272439,2272419,2272399,2272379,2272356,2272339,67,4.0
2272499,2272479,2272459,2272439,2272419,2272399,2272379,2272356,2272339,2272318,67,4.0
2272479,2272459,2272439,2272419,2272399,2272379,2272356,2272339,2272318,2272276,67,4.0
2272459,2272439,2272419,2272399,2272379,2272356,2272339,2272318,2272276,2272252,67,4.0
2272439,2272419,2272399,2272379,2272356,2272339,2272318,2272276,2272252,2272235,67,4.0
2272419,2272399,2272379,2272356,2272339,2272318,2272276,2272252,2272235,2272214,67,4.0
2272399,2272379,2272356,2272339,2272318,2272276,2272252,2272235,2272214,2272192,67,4.0
2272379,2272356,2272339,2272318,2272276,2272252,2272235,2272214,2272192,2272173,67,4.0
2272356,2272339,2272318,2272276,2272252,2272235,2272214,2272192,2272173,2272151,67,4.0
2272339,2272318,2272276,2272252,2272235,2272214,2272192,2272173,2272151,2272131,67,4.0
2272318,2272276,2272252,2272235,2272214,2272192,2272173,2272151,2272131,2272111,67,4.0
2272276,2272252,2272235,2272214,2272192,2272173,2272151,2272131,2272111,2272091,67,4.0
2272252,2272235,2272214,2272192,2272173,2272151,2272131,2272111,2272091,2272071,67,4.0
2272235,2272214,2272192,2272173,2272151,2272131,2272111,2272091,2272071,2272051,67,4.0
2272214,2272192,2272173,2272151,2272131,2272111,2272091,2272071,2272051,2272011,67,4.0
2272192,2272173,2272151,2272131,2272111,2272091,2272071,2272051,2272011,2271993,67,4.0
2272173,2272151,2272131,2272111,2272091,2272071,2272051,2272011,2271993,2271971,67,4.0
2272151,2272131,2272111,2272091,2272071,2272051,2272011,2271993,2271971,2271951,67,4.0
2272131,2272111,2272091,2272071,2272051,2272011,2271993,2271971,2271951,2271931,67,4.0
2272111,2272091,2272071,2272051,2272011,2271993,2271971,2271951,2271931,2271910,67,4.0
2272091,2272071,2272051,2272011,2271993,2271971,2271951,2271931,2271910,2271889,67,4.0
2272071,2272051,2272011,2271993,2271971,2271951,2271931,2271910,2271889,2271870,67,3.9
2272051,2272011,2271993,2271971,2271951,2271931,2271910,2271889,2271870,2271848,67,3.8
2272011,2271993,2271971,2271951,2271931,2271910,2271889,2271870,2271848,2271827,67,3.7
2271993,2271971,2271951,2271931,2271910,2271889,2271870,2271848,2271827,2271807,67,3.6
2271971,2271951,2271931,2271910,2271889,2271870,2271848,2271827,2271807,2271785,67,3.5
2271951,2271931,2271910,2271889,2271870,2271848,2271827,2271807,2271785,2271743,67,3.4
2271931,2271910,2271889,2271870,2271848,2271827,2271807,2271785,2271743,2271721,67,3.3
2271910,2271889,2271870,2271848,2271827,2271807,2271785,2271743,2271721,2271699,67,3.2
2271889,2271870,2271848,2271827,2271807,2271785,2271743,2271721,2271699,2271677,67,3.1
2270443,2270422,2270400,2270378,2270338,2270314,2270292,2270272,2270248,2270228,67,3.1
2270422,2270400,2270378,2270338,2270314,2270292,2270272,2270248,2270228,2270205,67,3.2
2270400,2270378,2270338,2270314,2270292,2270272,2270248,2270228,2270205,2270185,67,3.3
2270378,2270338,2270314,2270292,2270272,2270248,2270228,2270205,2270185,2270164,67,3.4
2270338,2270314,2270292,2270272,2270248,2270228,2270205,2270185,2270164,2270141,67,3.5
