input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,output_0,output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,seq_id
2379578,2379556,2379538,2379496,2379478,2379458,2379438,2379418,2379396,2379356,2379578,2379556,2379538,2379496,2379478,2379458,2379438,2379418,2379396,2379356,26
2379556,2379538,2379496,2379478,2379458,2379438,2379418,2379396,2379356,2379336,2379556,2379538,2379496,2379478,2379458,2379438,2379418,2379396,2379356,2379336,26
2379538,2379496,2379478,2379458,2379438,2379418,2379396,2379356,2379336,2379316,2379538,2379496,2379478,2379458,2379438,2379418,2379396,2379356,2379336,2379316,26
2379496,2379478,2379458,2379438,2379418,2379396,2379356,2379336,2379316,2379298,2379496,2379478,2379458,2379438,2379418,2379396,2379356,2379336,2379316,2379298,26
2379478,2379458,2379438,2379418,2379396,2379356,2379336,2379316,2379298,2379278,2379478,2379458,2379438,2379418,2379396,2379356,2379336,2379316,2379298,2379278,26
2379458,2379438,2379418,2379396,2379356,2379336,2379316,2379298,2379278,2379256,2379458,2379438,2379418,2379396,2379356,2379336,2379316,2379298,2379278,2379256,26
2379438,2379418,2379396,2379356,2379336,2379316,2379298,2379278,2379256,2379216,2379438,2379418,2379396,2379356,2379336,2379316,2379298,2379278,2379256,2379216,26
2379418,2379396,2379356,2379336,2379316,2379298,2379278,2379256,2379216,2379196,2379418,2379396,2379356,2379336,2379316,2379298,2379278,2379256,2379216,2379196,26
2379396,2379356,2379336,2379316,2379298,2379278,2379256,2379216,2379196,2379173,2379396,2379356,2379336,2379316,2379298,2379278,2379256,2379216,2379196,2379173,26
2379356,2379336,2379316,2379298,2379278,2379256,2379216,2379196,2379173,2379153,2379356,2379336,2379316,2379298,2379278,2379256,2379216,2379196,2379173,2379153,26
2379336,2379316,2379298,2379278,2379256,2379216,2379196,2379173,2379153,2379133,2379336,2379316,2379298,2379278,2379256,2379216,2379196,2379173,2379153,2379133,26
2379316,2379298,2379278,2379256,2379216,2379196,2379173,2379153,2379133,2379116,2379316,2379298,2379278,2379256,2379216,2379196,2379173,2379153,2379133,2379116,26
2379298,2379278,2379256,2379216,2379196,2379173,2379153,2379133,2379116,2379074,2379298,2379278,2379256,2379216,2379196,2379173,2379153,2379133,2379116,2379074,26
2379278,2379256,2379216,2379196,2379173,2379153,2379133,2379116,2379074,2379054,2379278,2379256,2379216,2379196,2379173,2379153,2379133,2379116,2379074,2379054,26
2379256,2379216,2379196,2379173,2379153,2379133,2379116,2379074,2379054,2379034,2379256,2379216,2379196,2379173,2379153,2379133,2379116,2379074,2379054,2379034,26
2379216,2379196,2379173,2379153,2379133,2379116,2379074,2379054,2379034,2379014,2379216,2379196,2379173,2379153,2379133,2379116,2379074,2379054,2379034,2379014,26
2379196,2379173,2379153,2379133,2379116,2379074,2379054,2379034,2379014,2378996,2379196,2379173,2379153,2379133,2379116,2379074,2379054,2379034,2379014,2378996,26
2379173,2379153,2379133,2379116,2379074,2379054,2379034,2379014,2378996,2378976,2379173,2379153,2379133,2379116,2379074,2379054,2379034,2379014,2378996,2378976,26
2379153,2379133,2379116,2379074,2379054,2379034,2379014,2378996,2378976,2378956,2379153,2379133,2379116,2379074,2379054,2379034,2379014,2378996,2378976,2378956,26
2379133,2379116,2379074,2379054,2379034,2379014,2378996,2378976,2378956,2378936,2379133,2379116,2379074,2379054,2379034,2379014,2378996,2378976,2378956,2378936,26
2379116,2379074,2379054,2379034,2379014,2378996,2378976,2378956,2378936,2378896,2379116,2379074,2379054,2379034,2379014,2378996,2378976,2378956,2378936,2378896,26
2379074,2379054,2379034,2379014,2378996,2378976,2378956,2378936,2378896,2378878,2379074,2379054,2379034,2379014,2378996,2378976,2378956,2378936,2378896,2378878,26
2379054,2379034,2379014,2378996,2378976,2378956,2378936,2378896,2378878,2378856,2379054,2379034,2379014,2378996,2378976,2378956,2378936,2378896,2378878,2378856,26
2379034,2379014,2378996,2378976,2378956,2378936,2378896,2378878,2378856,2378836,2379034,2379014,2378996,2378976,2378956,2378936,2378896,2378878,2378856,2378836,26
2379014,2378996,2378976,2378956,2378936,2378896,2378878,2378856,2378836,2378816,2379014,2378996,2378976,2378956,2378936,2378896,2378878,2378856,2378836,2378816,26
2378996,2378976,2378956,2378936,2378896,2378878,2378856,2378836,2378816,2378796,2378996,2378976,2378956,2378936,2378896,2378878,2378856,2378836,2378816,2378796,26
2378976,2378956,2378936,2378896,2378878,2378856,2378836,2378816,2378796,2378756,2378976,2378956,2378936,2378896,2378878,2378856,2378836,2378816,2378796,2378756,26
2378956,2378936,2378896,2378878,2378856,2378836,2378816,2378796,2378756,2378733,2378956,2378936,2378896,2378878,2378856,2378836,2378816,2378796,2378756,2378733,26
2378936,2378896,2378878,2378856,2378836,2378816,2378796,2378756,2378733,2378714,2378936,2378896,2378878,2378856,2378836,2378816,2378796,2378756,2378733,2378714,26
2378896,2378878,2378856,2378836,2378816,2378796,2378756,2378733,2378714,2378694,2378896,2378878,2378856,2378836,2378816,2378796,2378756,2378733,2378714,2378694,26
2378878,2378856,2378836,2378816,2378796,2378756,2378733,2378714,2378694,2378674,2378878,2378856,2378836,2378816,2378796,2378756,2378733,2378714,2378694,2378674,26
2378856,2378836,2378816,2378796,2378756,2378733,2378714,2378694,2378674,2378654,2378856,2378836,2378816,2378796,2378756,2378733,2378714,2378694,2378674,2378654,26
2378836,2378816,2378796,2378756,2378733,2378714,2378694,2378674,2378654,2378636,2378836,2378816,2378796,2378756,2378733,2378714,2378694,2378674,2378654,2378636,26
2378816,2378796,2378756,2378733,2378714,2378694,2378674,2378654,2378636,2378613,2378816,2378796,2378756,2378733,2378714,2378694,2378674,2378654,2378636,2378613,26
2378796,2378756,2378733,2378714,2378694,2378674,2378654,2378636,2378613,2378573,2378796,2378756,2378733,2378714,2378694,2378674,2378654,2378636,2378613,2378573,26
2378756,2378733,2378714,2378694,2378674,2378654,2378636,2378613,2378573,2378556,2378756,2378733,2378714,2378694,2378674,2378654,2378636,2378613,2378573,2378556,26
2378733,2378714,2378694,2378674,2378654,2378636,2378613,2378573,2378556,2378536,2378733,2378714,2378694,2378674,2378654,2378636,2378613,2378573,2378556,2378536,26
2378714,2378694,2378674,2378654,2378636,2378613,2378573,2378556,2378536,2378514,2378714,2378694,2378674,2378654,2378636,2378613,2378573,2378556,2378536,2378514,26
2378694,2378674,2378654,2378636,2378613,2378573,2378556,2378536,2378514,2378496,2378694,2378674,2378654,2378636,2378613,2378573,2378556,2378536,2378514,2378496,26
2378674,2378654,2378636,2378613,2378573,2378556,2378536,2378514,2378496,2378474,2378674,2378654,2378636,2378613,2378573,2378556,2378536,2378514,2378496,2378474,26
2378654,2378636,2378613,2378573,2378556,2378536,2378514,2378496,2378474,2378454,2378654,2378636,2378613,2378573,2378556,2378536,2378514,2378496,2378474,2378454,26
2378636,2378613,2378573,2378556,2378536,2378514,2378496,2378474,2378454,2378434,2378636,2378613,2378573,2378556,2378536,2378514,2378496,2378474,2378454,2378434,26
2378613,2378573,2378556,2378536,2378514,2378496,2378474,2378454,2378434,2378413,2378613,2378573,2378556,2378536,2378514,2378496,2378474,2378454,2378434,2378413,26
2378573,2378556,2378536,2378514,2378496,2378474,2378454,2378434,2378413,2378393,2378573,2378556,2378536,2378514,2378496,2378474,2378454,2378434,2378413,2378393,26
2378556,2378536,2378514,2378496,2378474,2378454,2378434,2378413,2378393,2378355,2378556,2378536,2378514,2378496,2378474,2378454,2378434,2378413,2378393,2378355,26
2378536,2378514,2378496,2378474,2378454,2378434,2378413,2378393,2378355,2378333,2378536,2378514,2378496,2378474,2378454,2378434,2378413,2378393,2378355,2378333,26
2378514,2378496,2378474,2378454,2378434,2378413,2378393,2378355,2378333,2378313,2378514,2378496,2378474,2378454,2378434,2378413,2378393,2378355,2378333,2378313,26
2378496,2378474,2378454,2378434,2378413,2378393,2378355,2378333,2378313,2378293,2378496,2378474,2378454,2378434,2378413,2378393,2378355,2378333,2378313,2378293,26
2378474,2378454,2378434,2378413,2378393,2378355,2378333,2378313,2378293,2378273,2378474,2378454,2378434,2378413,2378393,2378355,2378333,2378313,2378293,2378273,26
2378454,2378434,2378413,2378393,2378355,2378333,2378313,2378293,2378273,2378253,2378454,2378434,2378413,2378393,2378355,2378333,2378313,2378293,2378273,2378253,26
2378434,2378413,2378393,2378355,2378333,2378313,2378293,2378273,2378253,2378233,2378434,2378413,2378393,2378355,2378333,2378313,2378293,2378273,2378253,2378233,26
2378413,2378393,2378355,2378333,2378313,2378293,2378273,2378253,2378233,2378213,2378413,2378393,2378355,2378333,2378313,2378293,2378273,2378253,2378233,2378213,26
2378393,2378355,2378333,2378313,2378293,2378273,2378253,2378233,2378213,2378193,2378393,2378355,2378333,2378313,2378293,2378273,2378253,2378233,2378213,2378193,26
2378355,2378333,2378313,2378293,2378273,2378253,2378233,2378213,2378193,2378173,2378355,2378333,2378313,2378293,2378273,2378253,2378233,2378213,2378193,2378173,26
2378333,2378313,2378293,2378273,2378253,2378233,2378213,2378193,2378173,2378153,2378333,2378313,2378293,2378273,2378253,2378233,2378213,2378193,2378173,2378153,26
2378313,2378293,2378273,2378253,2378233,2378213,2378193,2378173,2378153,2378117,2378313,2378293,2378273,2378253,2378233,2378213,2378193,2378173,2378153,2378117,26
2378293,2378273,2378253,2378233,2378213,2378193,2378173,2378153,2378117,2378097,2378293,2378273,2378253,2378233,2378213,2378193,2378173,2378153,2378117,2378097,26
2378273,2378253,2378233,2378213,2378193,2378173,2378153,2378117,2378097,2378077,2378273,2378253,2378233,2378213,2378193,2378173,2378153,2378117,2378097,2378077,26
2378253,2378233,2378213,2378193,2378173,2378153,2378117,2378097,2378077,2378056,2378253,2378233,2378213,2378193,2378173,2378153,2378117,2378097,2378077,2378056,26
2378233,2378213,2378193,2378173,2378153,2378117,2378097,2378077,2378056,2378035,2378233,2378213,2378193,2378173,2378153,2378117,2378097,2378077,2378056,2378035,26
2378213,2378193,2378173,2378153,2378117,2378097,2378077,2378056,2378035,2378014,2378213,2378193,2378173,2378153,2378117,2378097,2378077,2378056,2378035,2378014,26
2378193,2378173,2378153,2378117,2378097,2378077,2378056,2378035,2378014,2377993,2378193,2378173,2378153,2378117,2378097,2378077,2378056,2378035,2378014,2377993,26
2378173,2378153,2378117,2378097,2378077,2378056,2378035,2378014,2377993,2377975,2378173,2378153,2378117,2378097,2378077,2378056,2378035,2378014,2377993,2377975,26
2378153,2378117,2378097,2378077,2378056,2378035,2378014,2377993,2377975,2377953,2378153,2378117,2378097,2378077,2378056,2378035,2378014,2377993,2377975,2377953,26
2378117,2378097,2378077,2378056,2378035,2378014,2377993,2377975,2377953,2377933,2378117,2378097,2378077,2378056,2378035,2378014,2377993,2377975,2377953,2377933,26
2378097,2378077,2378056,2378035,2378014,2377993,2377975,2377953,2377933,2377912,2378097,2378077,2378056,2378035,2378014,2377993,2377975,2377953,2377933,2377912,26
2378077,2378056,2378035,2378014,2377993,2377975,2377953,2377933,2377912,2377870,2378077,2378056,2378035,2378014,2377993,2377975,2377953,2377933,2377912,2377870,26
2378056,2378035,2378014,2377993,2377975,2377953,2377933,2377912,2377870,2377845,2378056,2378035,2378014,2377993,2377975,2377953,2377933,2377912,2377870,2377845,26
2378035,2378014,2377993,2377975,2377953,2377933,2377912,2377870,2377845,2377830,2378035,2378014,2377993,2377975,2377953,2377933,2377912,2377870,2377845,2377830,26
2377331,2377309,2377289,2377249,2377229,2377211,2377189,2377171,2377149,2377109,2377331,2377309,2377289,2377249,2377229,2377211,2377189,2377171,2377149,2377109,27
2377309,2377289,2377249,2377229,2377211,2377189,2377171,2377149,2377109,2377091,2377309,2377289,2377249,2377229,2377211,2377189,2377171,2377149,2377109,2377091,27
2377289,2377249,2377229,2377211,2377189,2377171,2377149,2377109,2377091,2377069,2377289,2377249,2377229,2377211,2377189,2377171,2377149,2377109,2377091,2377069,27
2377249,2377229,2377211,2377189,2377171,2377149,2377109,2377091,2377069,2377051,2377249,2377229,2377211,2377189,2377171,2377149,2377109,2377091,2377069,2377051,27
2377229,2377211,2377189,2377171,2377149,2377109,2377091,2377069,2377051,2377029,2377229,2377211,2377189,2377171,2377149,2377109,2377091,2377069,2377051,2377029,27
2377211,2377189,2377171,2377149,2377109,2377091,2377069,2377051,2377029,2377009,2377211,2377189,2377171,2377149,2377109,2377091,2377069,2377051,2377029,2377009,27
2377189,2377171,2377149,2377109,2377091,2377069,2377051,2377029,2377009,2376969,2377189,2377171,2377149,2377109,2377091,2377069,2377051,2377029,2377009,2376969,27
2377171,2377149,2377109,2377091,2377069,2377051,2377029,2377009,2376969,2376949,2377171,2377149,2377109,2377091,2377069,2377051,2377029,2377009,2376969,2376949,27
2377149,2377109,2377091,2377069,2377051,2377029,2377009,2376969,2376949,2376929,2377149,2377109,2377091,2377069,2377051,2377029,2377009,2376969,2376949,2376929,27
2377109,2377091,2377069,2377051,2377029,2377009,2376969,2376949,2376929,2376909,2377109,2377091,2377069,2377051,2377029,2377009,2376969,2376949,2376929,2376909,27
2377091,2377069,2377051,2377029,2377009,2376969,2376949,2376929,2376909,2376889,2377091,2377069,2377051,2377029,2377009,2376969,2376949,2376929,2376909,2376889,27
2377069,2377051,2377029,2377009,2376969,2376949,2376929,2376909,2376889,2376867,2377069,2377051,2377029,2377009,2376969,2376949,2376929,2376909,2376889,2376867,27
2377051,2377029,2377009,2376969,2376949,2376929,2376909,2376889,2376867,2376849,2377051,2377029,2377009,2376969,2376949,2376929,2376909,2376889,2376867,2376849,27
2377029,2377009,2376969,2376949,2376929,2376909,2376889,2376867,2376849,2376826,2377029,2377009,2376969,2376949,2376929,2376909,2376889,2376867,2376849,2376826,27
2377009,2376969,2376949,2376929,2376909,2376889,2376867,2376849,2376826,2376810,2377009,2376969,2376949,2376929,2376909,2376889,2376867,2376849,2376826,2376810,27
2376969,2376949,2376929,2376909,2376889,2376867,2376849,2376826,2376810,2376769,2376969,2376949,2376929,2376909,2376889,2376867,2376849,2376826,2376810,2376769,27
2376949,2376929,2376909,2376889,2376867,2376849,2376826,2376810,2376769,2376749,2376949,2376929,2376909,2376889,2376867,2376849,2376826,2376810,2376769,2376749,27
2376929,2376909,2376889,2376867,2376849,2376826,2376810,2376769,2376749,2376729,2376929,2376909,2376889,2376867,2376849,2376826,2376810,2376769,2376749,2376729,27
2376909,2376889,2376867,2376849,2376826,2376810,2376769,2376749,2376729,2376707,2376909,2376889,2376867,2376849,2376826,2376810,2376769,2376749,2376729,2376707,27
2376889,2376867,2376849,2376826,2376810,2376769,2376749,2376729,2376707,2376685,2376889,2376867,2376849,2376826,2376810,2376769,2376749,2376729,2376707,2376685,27
2376867,2376849,2376826,2376810,2376769,2376749,2376729,2376707,2376685,2376667,2376867,2376849,2376826,2376810,2376769,2376749,2376729,2376707,2376685,2376667,27
2376849,2376826,2376810,2376769,2376749,2376729,2376707,2376685,2376667,2376647,2376849,2376826,2376810,2376769,2376749,2376729,2376707,2376685,2376667,2376647,27
2376826,2376810,2376769,2376749,2376729,2376707,2376685,2376667,2376647,2376627,2376826,2376810,2376769,2376749,2376729,2376707,2376685,2376667,2376647,2376627,27
2376810,2376769,2376749,2376729,2376707,2376685,2376667,2376647,2376627,2376587,2376810,2376769,2376749,2376729,2376707,2376685,2376667,2376647,2376627,2376587,27
2376769,2376749,2376729,2376707,2376685,2376667,2376647,2376627,2376587,2376569,2376769,2376749,2376729,2376707,2376685,2376667,2376647,2376627,2376587,2376569,27
2376749,2376729,2376707,2376685,2376667,2376647,2376627,2376587,2376569,2376547,2376749,2376729,2376707,2376685,2376667,2376647,2376627,2376587,2376569,2376547,27
2376729,2376707,2376685,2376667,2376647,2376627,2376587,2376569,2376547,2376527,2376729,2376707,2376685,2376667,2376647,2376627,2376587,2376569,2376547,2376527,27
2376707,2376685,2376667,2376647,2376627,2376587,2376569,2376547,2376527,2376509,2376707,2376685,2376667,2376647,2376627,2376587,2376569,2376547,2376527,2376509,27
2376685,2376667,2376647,2376627,2376587,2376569,2376547,2376527,2376509,2376487,2376685,2376667,2376647,2376627,2376587,2376569,2376547,2376527,2376509,2376487,27
2376667,2376647,2376627,2376587,2376569,2376547,2376527,2376509,2376487,2376447,2376667,2376647,2376627,2376587,2376569,2376547,2376527,2376509,2376487,2376447,27
2376647,2376627,2376587,2376569,2376547,2376527,2376509,2376487,2376447,2376425,2376647,2376627,2376587,2376569,2376547,2376527,2376509,2376487,2376447,2376425,27
2376627,2376587,2376569,2376547,2376527,2376509,2376487,2376447,2376425,2376405,2376627,2376587,2376569,2376547,2376527,2376509,2376487,2376447,2376425,2376405,27
2376587,2376569,2376547,2376527,2376509,2376487,2376447,2376425,2376405,2376385,2376587,2376569,2376547,2376527,2376509,2376487,2376447,2376425,2376405,2376385,27
2376569,2376547,2376527,2376509,2376487,2376447,2376425,2376405,2376385,2376365,2376569,2376547,2376527,2376509,2376487,2376447,2376425,2376405,2376385,2376365,27
2376547,2376527,2376509,2376487,2376447,2376425,2376405,2376385,2376365,2376347,2376547,2376527,2376509,2376487,2376447,2376425,2376405,2376385,2376365,2376347,27
2376527,2376509,2376487,2376447,2376425,2376405,2376385,2376365,2376347,2376326,2376527,2376509,2376487,2376447,2376425,2376405,2376385,2376365,2376347,2376326,27
2376509,2376487,2376447,2376425,2376405,2376385,2376365,2376347,2376326,2376303,2376509,2376487,2376447,2376425,2376405,2376385,2376365,2376347,2376326,2376303,27
2376487,2376447,2376425,2376405,2376385,2376365,2376347,2376326,2376303,2376283,2376487,2376447,2376425,2376405,2376385,2376365,2376347,2376326,2376303,2376283,27
2376447,2376425,2376405,2376385,2376365,2376347,2376326,2376303,2376283,2376264,2376447,2376425,2376405,2376385,2376365,2376347,2376326,2376303,2376283,2376264,27
2376425,2376405,2376385,2376365,2376347,2376326,2376303,2376283,2376264,2376241,2376425,2376405,2376385,2376365,2376347,2376326,2376303,2376283,2376264,2376241,27
2376405,2376385,2376365,2376347,2376326,2376303,2376283,2376264,2376241,2376199,2376405,2376385,2376365,2376347,2376326,2376303,2376283,2376264,2376241,2376199,27
2376385,2376365,2376347,2376326,2376303,2376283,2376264,2376241,2376199,2376180,2376385,2376365,2376347,2376326,2376303,2376283,2376264,2376241,2376199,2376180,27
2376365,2376347,2376326,2376303,2376283,2376264,2376241,2376199,2376180,2376158,2376365,2376347,2376326,2376303,2376283,2376264,2376241,2376199,2376180,2376158,27
2376347,2376326,2376303,2376283,2376264,2376241,2376199,2376180,2376158,2376140,2376347,2376326,2376303,2376283,2376264,2376241,2376199,2376180,2376158,2376140,27
2376326,2376303,2376283,2376264,2376241,2376199,2376180,2376158,2376140,2376118,2376326,2376303,2376283,2376264,2376241,2376199,2376180,2376158,2376140,2376118,27
2376303,2376283,2376264,2376241,2376199,2376180,2376158,2376140,2376118,2376097,2376303,2376283,2376264,2376241,2376199,2376180,2376158,2376140,2376118,2376097,27
2376283,2376264,2376241,2376199,2376180,2376158,2376140,2376118,2376097,2376077,2376283,2376264,2376241,2376199,2376180,2376158,2376140,2376118,2376097,2376077,27
2376264,2376241,2376199,2376180,2376158,2376140,2376118,2376097,2376077,2376057,2376264,2376241,2376199,2376180,2376158,2376140,2376118,2376097,2376077,2376057,27
2376241,2376199,2376180,2376158,2376140,2376118,2376097,2376077,2376057,2376037,2376241,2376199,2376180,2376158,2376140,2376118,2376097,2376077,2376057,2376037,27
2376199,2376180,2376158,2376140,2376118,2376097,2376077,2376057,2376037,2376018,2376199,2376180,2376158,2376140,2376118,2376097,2376077,2376057,2376037,2376018,27
2376180,2376158,2376140,2376118,2376097,2376077,2376057,2376037,2376018,2375997,2376180,2376158,2376140,2376118,2376097,2376077,2376057,2376037,2376018,2375997,27
2376158,2376140,2376118,2376097,2376077,2376057,2376037,2376018,2375997,2375974,2376158,2376140,2376118,2376097,2376077,2376057,2376037,2376018,2375997,2375974,27
2376140,2376118,2376097,2376077,2376057,2376037,2376018,2375997,2375974,2375933,2376140,2376118,2376097,2376077,2376057,2376037,2376018,2375997,2375974,2375933,27
2376118,2376097,2376077,2376057,2376037,2376018,2375997,2375974,2375933,2375914,2376118,2376097,2376077,2376057,2376037,2376018,2375997,2375974,2375933,2375914,27
2376097,2376077,2376057,2376037,2376018,2375997,2375974,2375933,2375914,2375893,2376097,2376077,2376057,2376037,2376018,2375997,2375974,2375933,2375914,2375893,27
2376077,2376057,2376037,2376018,2375997,2375974,2375933,2375914,2375893,2375872,2376077,2376057,2376037,2376018,2375997,2375974,2375933,2375914,2375893,2375872,27
2376057,2376037,2376018,2375997,2375974,2375933,2375914,2375893,2375872,2375849,2376057,2376037,2376018,2375997,2375974,2375933,2375914,2375893,2375872,2375849,27
2376037,2376018,2375997,2375974,2375933,2375914,2375893,2375872,2375849,2375830,2376037,2376018,2375997,2375974,2375933,2375914,2375893,2375872,2375849,2375830,27
2376018,2375997,2375974,2375933,2375914,2375893,2375872,2375849,2375830,2375808,2376018,2375997,2375974,2375933,2375914,2375893,2375872,2375849,2375830,2375808,27
2375997,2375974,2375933,2375914,2375893,2375872,2375849,2375830,2375808,2375787,2375997,2375974,2375933,2375914,2375893,2375872,2375849,2375830,2375808,2375787,27
2375974,2375933,2375914,2375893,2375872,2375849,2375830,2375808,2375787,2375767,2375974,2375933,2375914,2375893,2375872,2375849,2375830,2375808,2375787,2375767,27
2375933,2375914,2375893,2375872,2375849,2375830,2375808,2375787,2375767,2375745,2375933,2375914,2375893,2375872,2375849,2375830,2375808,2375787,2375767,2375745,27
2375914,2375893,2375872,2375849,2375830,2375808,2375787,2375767,2375745,2375723,2375914,2375893,2375872,2375849,2375830,2375808,2375787,2375767,2375745,2375723,27
2375164,2375144,2375124,2375104,2375084,2375064,2375022,2375002,2374982,2374962,2375164,2375144,2375124,2375104,2375084,2375064,2375022,2375002,2374982,2374962,28
2375144,2375124,2375104,2375084,2375064,2375022,2375002,2374982,2374962,2374946,2375144,2375124,2375104,2375084,2375064,2375022,2375002,2374982,2374962,2374946,28
2375124,2375104,2375084,2375064,2375022,2375002,2374982,2374962,2374946,2374924,2375124,2375104,2375084,2375064,2375022,2375002,2374982,2374962,2374946,2374924,28
2375104,2375084,2375064,2375022,2375002,2374982,2374962,2374946,2374924,2374904,2375104,2375084,2375064,2375022,2375002,2374982,2374962,2374946,2374924,2374904,28
2375084,2375064,2375022,2375002,2374982,2374962,2374946,2374924,2374904,2374884,2375084,2375064,2375022,2375002,2374982,2374962,2374946,2374924,2374904,2374884,28
2375064,2375022,2375002,2374982,2374962,2374946,2374924,2374904,2374884,2374844,2375064,2375022,2375002,2374982,2374962,2374946,2374924,2374904,2374884,2374844,28
2375022,2375002,2374982,2374962,2374946,2374924,2374904,2374884,2374844,2374824,2375022,2375002,2374982,2374962,2374946,2374924,2374904,2374884,2374844,2374824,28
2375002,2374982,2374962,2374946,2374924,2374904,2374884,2374844,2374824,2374802,2375002,2374982,2374962,2374946,2374924,2374904,2374884,2374844,2374824,2374802,28
2374982,2374962,2374946,2374924,2374904,2374884,2374844,2374824,2374802,2374782,2374982,2374962,2374946,2374924,2374904,2374884,2374844,2374824,2374802,2374782,28
2374962,2374946,2374924,2374904,2374884,2374844,2374824,2374802,2374782,2374762,2374962,2374946,2374924,2374904,2374884,2374844,2374824,2374802,2374782,2374762,28
2374946,2374924,2374904,2374884,2374844,2374824,2374802,2374782,2374762,2374742,2374946,2374924,2374904,2374884,2374844,2374824,2374802,2374782,2374762,2374742,28
2374924,2374904,2374884,2374844,2374824,2374802,2374782,2374762,2374742,2374722,2374924,2374904,2374884,2374844,2374824,2374802,2374782,2374762,2374742,2374722,28
2374904,2374884,2374844,2374824,2374802,2374782,2374762,2374742,2374722,2374702,2374904,2374884,2374844,2374824,2374802,2374782,2374762,2374742,2374722,2374702,28
2374884,2374844,2374824,2374802,2374782,2374762,2374742,2374722,2374702,2374682,2374884,2374844,2374824,2374802,2374782,2374762,2374742,2374722,2374702,2374682,28
2374844,2374824,2374802,2374782,2374762,2374742,2374722,2374702,2374682,2374661,2374844,2374824,2374802,2374782,2374762,2374742,2374722,2374702,2374682,2374661,28
2374824,2374802,2374782,2374762,2374742,2374722,2374702,2374682,2374661,2374621,2374824,2374802,2374782,2374762,2374742,2374722,2374702,2374682,2374661,2374621,28
2374802,2374782,2374762,2374742,2374722,2374702,2374682,2374661,2374621,2374601,2374802,2374782,2374762,2374742,2374722,2374702,2374682,2374661,2374621,2374601,28
2374782,2374762,2374742,2374722,2374702,2374682,2374661,2374621,2374601,2374581,2374782,2374762,2374742,2374722,2374702,2374682,2374661,2374621,2374601,2374581,28
2374762,2374742,2374722,2374702,2374682,2374661,2374621,2374601,2374581,2374561,2374762,2374742,2374722,2374702,2374682,2374661,2374621,2374601,2374581,2374561,28
2374742,2374722,2374702,2374682,2374661,2374621,2374601,2374581,2374561,2374540,2374742,2374722,2374702,2374682,2374661,2374621,2374601,2374581,2374561,2374540,28
2374722,2374702,2374682,2374661,2374621,2374601,2374581,2374561,2374540,2374521,2374722,2374702,2374682,2374661,2374621,2374601,2374581,2374561,2374540,2374521,28
2374702,2374682,2374661,2374621,2374601,2374581,2374561,2374540,2374521,2374503,2374702,2374682,2374661,2374621,2374601,2374581,2374561,2374540,2374521,2374503,28
2374682,2374661,2374621,2374601,2374581,2374561,2374540,2374521,2374503,2374481,2374682,2374661,2374621,2374601,2374581,2374561,2374540,2374521,2374503,2374481,28
2374661,2374621,2374601,2374581,2374561,2374540,2374521,2374503,2374481,2374461,2374661,2374621,2374601,2374581,2374561,2374540,2374521,2374503,2374481,2374461,28
2374621,2374601,2374581,2374561,2374540,2374521,2374503,2374481,2374461,2374440,2374621,2374601,2374581,2374561,2374540,2374521,2374503,2374481,2374461,2374440,28
2374601,2374581,2374561,2374540,2374521,2374503,2374481,2374461,2374440,2374418,2374601,2374581,2374561,2374540,2374521,2374503,2374481,2374461,2374440,2374418,28
2374581,2374561,2374540,2374521,2374503,2374481,2374461,2374440,2374418,2374401,2374581,2374561,2374540,2374521,2374503,2374481,2374461,2374440,2374418,2374401,28
2374561,2374540,2374521,2374503,2374481,2374461,2374440,2374418,2374401,2374379,2374561,2374540,2374521,2374503,2374481,2374461,2374440,2374418,2374401,2374379,28
2374540,2374521,2374503,2374481,2374461,2374440,2374418,2374401,2374379,2374357,2374540,2374521,2374503,2374481,2374461,2374440,2374418,2374401,2374379,2374357,28
2374521,2374503,2374481,2374461,2374440,2374418,2374401,2374379,2374357,2374337,2374521,2374503,2374481,2374461,2374440,2374418,2374401,2374379,2374357,2374337,28
2374503,2374481,2374461,2374440,2374418,2374401,2374379,2374357,2374337,2374315,2374503,2374481,2374461,2374440,2374418,2374401,2374379,2374357,2374337,2374315,28
2374481,2374461,2374440,2374418,2374401,2374379,2374357,2374337,2374315,2374293,2374481,2374461,2374440,2374418,2374401,2374379,2374357,2374337,2374315,2374293,28
2374461,2374440,2374418,2374401,2374379,2374357,2374337,2374315,2374293,2374272,2374461,2374440,2374418,2374401,2374379,2374357,2374337,2374315,2374293,2374272,28
2374440,2374418,2374401,2374379,2374357,2374337,2374315,2374293,2374272,2374250,2374440,2374418,2374401,2374379,2374357,2374337,2374315,2374293,2374272,2374250,28
2374418,2374401,2374379,2374357,2374337,2374315,2374293,2374272,2374250,2374230,2374418,2374401,2374379,2374357,2374337,2374315,2374293,2374272,2374250,2374230,28
2374401,2374379,2374357,2374337,2374315,2374293,2374272,2374250,2374230,2374206,2374401,2374379,2374357,2374337,2374315,2374293,2374272,2374250,2374230,2374206,28
2374379,2374357,2374337,2374315,2374293,2374272,2374250,2374230,2374206,2374184,2374379,2374357,2374337,2374315,2374293,2374272,2374250,2374230,2374206,2374184,28
